ST,STATE,OCC_TITLE,A_MEAN
AL,Alabama,"Administrative Law Judges, Adjudicators, and Hearing Officers",127500
AL,Alabama,"Arbitrators, Mediators, and Conciliators",63060
AL,Alabama,"Judges, Magistrate Judges, and Magistrates",62250
AL,Alabama,Paralegals and Legal Assistants,44430
AL,Alabama,Court Reporters,38340
AL,Alabama,"Title Examiners, Abstractors, and Searchers",32980
AL,Alabama,"Legal Support Workers, All Other",50880
AL,Alabama,"Education, Training, and Library Occupations",46310
AL,Alabama,"Business Teachers, Postsecondary",91140
AL,Alabama,"Computer Science Teachers, Postsecondary",92670
AL,Alabama,"Mathematical Science Teachers, Postsecondary",71120
AL,Alabama,"Architecture Teachers, Postsecondary",99180
AL,Alabama,"Engineering Teachers, Postsecondary",128580
AL,Alabama,"Agricultural Sciences Teachers, Postsecondary",103120
AL,Alabama,"Biological Science Teachers, Postsecondary",85770
AL,Alabama,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",95900
AL,Alabama,"Chemistry Teachers, Postsecondary",77510
AL,Alabama,"Environmental Science Teachers, Postsecondary",75520
AL,Alabama,"Physics Teachers, Postsecondary",90610
AL,Alabama,"Economics Teachers, Postsecondary",114040
AL,Alabama,"Geography Teachers, Postsecondary",85070
AL,Alabama,"Political Science Teachers, Postsecondary",81020
AL,Alabama,"Psychology Teachers, Postsecondary",77640
AL,Alabama,"Sociology Teachers, Postsecondary",65510
AL,Alabama,"Nursing Instructors and Teachers, Postsecondary",59510
AL,Alabama,"Education Teachers, Postsecondary",74010
AL,Alabama,"Library Science Teachers, Postsecondary",64960
AL,Alabama,"Criminal Justice and Law Enforcement Teachers, Postsecondary",72750
AL,Alabama,"Law Teachers, Postsecondary",86290
AL,Alabama,"Social Work Teachers, Postsecondary",72990
AL,Alabama,"Art, Drama, and Music Teachers, Postsecondary",62860
AL,Alabama,"Communications Teachers, Postsecondary",72440
AL,Alabama,"English Language and Literature Teachers, Postsecondary",57850
AL,Alabama,"Foreign Language and Literature Teachers, Postsecondary",66850
AL,Alabama,"History Teachers, Postsecondary",66930
AL,Alabama,"Philosophy and Religion Teachers, Postsecondary",72650
AL,Alabama,Graduate Teaching Assistants,18460
AL,Alabama,"Home Economics Teachers, Postsecondary",83720
AL,Alabama,"Recreation and Fitness Studies Teachers, Postsecondary",60730
AL,Alabama,"Vocational Education Teachers, Postsecondary",38600
AL,Alabama,"Postsecondary Teachers, All Other",*
AL,Alabama,"Preschool Teachers, Except Special Education",28400
AL,Alabama,"Kindergarten Teachers, Except Special Education",46700
AL,Alabama,"Elementary School Teachers, Except Special Education",49700
AL,Alabama,"Middle School Teachers, Except Special and Career/Technical Education",48890
AL,Alabama,"Career/Technical Education Teachers, Middle School",50730
AL,Alabama,"Secondary School Teachers, Except Special and Career/Technical Education",49960
AL,Alabama,"Career/Technical Education Teachers, Secondary School",52460
AL,Alabama,"Special Education Teachers, Preschool",39980
AL,Alabama,"Special Education Teachers, Kindergarten and Elementary School",50400
AL,Alabama,"Special Education Teachers, Middle School",48760
AL,Alabama,"Special Education Teachers, Secondary School",51150
AL,Alabama,"Special Education Teachers, All Other",55370
AL,Alabama,Adult Basic and Secondary Education and Literacy Teachers and Instructors,38030
AL,Alabama,Self-Enrichment Education Teachers,36800
AL,Alabama,"Teachers and Instructors, All Other, Except Substitute Teachers",34910
AL,Alabama,Substitute Teachers,17670
AL,Alabama,Archivists,58620
AL,Alabama,Curators,51290
AL,Alabama,Museum Technicians and Conservators,37730
AL,Alabama,Librarians,52620
AL,Alabama,Library Technicians,28640
AL,Alabama,Audio-Visual and Multimedia Collections Specialists,25720
AL,Alabama,Farm and Home Management Advisors,52470
AL,Alabama,Instructional Coordinators,67830
AL,Alabama,Teacher Assistants,20220
AL,Alabama,"Education, Training, and Library Workers, All Other",37110
AL,Alabama,"Arts, Design, Entertainment, Sports, and Media Occupations",42760
AL,Alabama,Art Directors,72450
AL,Alabama,Craft Artists,28880
AL,Alabama,Multimedia Artists and Animators,64060
AL,Alabama,"Artists and Related Workers, All Other",48240
AL,Alabama,Commercial and Industrial Designers,68340
AL,Alabama,Floral Designers,23700
AL,Alabama,Graphic Designers,40510
AL,Alabama,Interior Designers,63010
AL,Alabama,Merchandise Displayers and Window Trimmers,26420
AL,Alabama,Producers and Directors,45960
AL,Alabama,Coaches and Scouts,37480
AL,Alabama,"Umpires, Referees, and Other Sports Officials",24560
AL,Alabama,Music Directors and Composers,40890
AL,Alabama,Musicians and Singers,*
AL,Alabama,Radio and Television Announcers,32500
AL,Alabama,Public Address System and Other Announcers,*
AL,Alabama,Broadcast News Analysts,98550
AL,Alabama,Reporters and Correspondents,39270
AL,Alabama,Public Relations Specialists,50650
AL,Alabama,Editors,48460
AL,Alabama,Technical Writers,62300
AL,Alabama,Writers and Authors,55720
AL,Alabama,Interpreters and Translators,46480
AL,Alabama,Audio and Video Equipment Technicians,36950
AL,Alabama,Broadcast Technicians,36380
AL,Alabama,Sound Engineering Technicians,44080
AL,Alabama,Photographers,34940
AL,Alabama,"Camera Operators, Television, Video, and Motion Picture",40290
AL,Alabama,Film and Video Editors,50660
AL,Alabama,"Media and Communication Equipment Workers, All Other",67240
AL,Alabama,Healthcare Practitioners and Technical Occupations,68600
AL,Alabama,Chiropractors,96570
AL,Alabama,"Dentists, General",174870
AL,Alabama,Oral and Maxillofacial Surgeons,143230
AL,Alabama,Orthodontists,185710
AL,Alabama,Dietitians and Nutritionists,50610
AL,Alabama,Optometrists,95460
AL,Alabama,Pharmacists,121550
AL,Alabama,Anesthesiologists,#
AL,Alabama,Family and General Practitioners,198890
AL,Alabama,"Internists, General",250340
AL,Alabama,Obstetricians and Gynecologists,216100
AL,Alabama,"Pediatricians, General",190040
AL,Alabama,Psychiatrists,197410
AL,Alabama,Surgeons,240300
AL,Alabama,"Physicians and Surgeons, All Other",243590
AL,Alabama,Physician Assistants,93240
AL,Alabama,Podiatrists,121970
AL,Alabama,Occupational Therapists,79660
AL,Alabama,Physical Therapists,87250
AL,Alabama,Radiation Therapists,77630
AL,Alabama,Recreational Therapists,43520
AL,Alabama,Respiratory Therapists,46930
AL,Alabama,Speech-Language Pathologists,67850
AL,Alabama,Exercise Physiologists,43790
AL,Alabama,Veterinarians,78000
AL,Alabama,Registered Nurses,56890
AL,Alabama,Nurse Anesthetists,160030
AL,Alabama,Nurse Practitioners,93820
AL,Alabama,Audiologists,60820
AL,Alabama,Medical and Clinical Laboratory Technologists,53230
AL,Alabama,Medical and Clinical Laboratory Technicians,35550
AL,Alabama,Dental Hygienists,44400
AL,Alabama,Cardiovascular Technologists and Technicians,45350
AL,Alabama,Diagnostic Medical Sonographers,54470
AL,Alabama,Nuclear Medicine Technologists,60900
AL,Alabama,Radiologic Technologists,46970
AL,Alabama,Magnetic Resonance Imaging Technologists,59850
AL,Alabama,Emergency Medical Technicians and Paramedics,28910
AL,Alabama,Dietetic Technicians,37780
AL,Alabama,Pharmacy Technicians,27520
AL,Alabama,Psychiatric Technicians,26780
AL,Alabama,Respiratory Therapy Technicians,41790
AL,Alabama,Surgical Technologists,35590
AL,Alabama,Veterinary Technologists and Technicians,29180
AL,Alabama,Ophthalmic Medical Technicians,30570
AL,Alabama,Licensed Practical and Licensed Vocational Nurses,36100
AL,Alabama,Medical Records and Health Information Technicians,33180
AL,Alabama,"Opticians, Dispensing",29990
AL,Alabama,Orthotists and Prosthetists,74090
AL,Alabama,Hearing Aid Specialists,43810
AL,Alabama,"Health Technologists and Technicians, All Other",40640
AL,Alabama,Occupational Health and Safety Specialists,69420
AL,Alabama,Occupational Health and Safety Technicians,46150
AL,Alabama,Athletic Trainers,43240
AL,Alabama,"Healthcare Practitioners and Technical Workers, All Other",32330
AL,Alabama,Healthcare Support Occupations,25480
AL,Alabama,Home Health Aides,19720
AL,Alabama,Psychiatric Aides,24330
AL,Alabama,Nursing Assistants,22150
AL,Alabama,Orderlies,20880
AL,Alabama,Occupational Therapy Assistants,56240
AL,Alabama,Occupational Therapy Aides,25820
AL,Alabama,Physical Therapist Assistants,52520
AL,Alabama,Physical Therapist Aides,24580
AL,Alabama,Massage Therapists,33520
AL,Alabama,Dental Assistants,31240
AL,Alabama,Medical Assistants,26740
AL,Alabama,Medical Equipment Preparers,25800
AL,Alabama,Medical Transcriptionists,34250
AL,Alabama,Pharmacy Aides,22790
AL,Alabama,Veterinary Assistants and Laboratory Animal Caretakers,23440
AL,Alabama,Phlebotomists,27440
AL,Alabama,"Healthcare Support Workers, All Other",29470
AL,Alabama,Protective Service Occupations,36060
AL,Alabama,First-Line Supervisors of Correctional Officers,55830
AL,Alabama,First-Line Supervisors of Police and Detectives,63390
AL,Alabama,First-Line Supervisors of Fire Fighting and Prevention Workers,60730
AL,Alabama,"First-Line Supervisors of Protective Service Workers, All Other",44110
AL,Alabama,Firefighters,39780
AL,Alabama,Fire Inspectors and Investigators,54780
AL,Alabama,Forest Fire Inspectors and Prevention Specialists,34990
AL,Alabama,Bailiffs,33470
AL,Alabama,Correctional Officers and Jailers,35730
AL,Alabama,Detectives and Criminal Investigators,60570
AL,Alabama,Fish and Game Wardens,52780
AL,Alabama,Parking Enforcement Workers,27520
AL,Alabama,Police and Sheriff's Patrol Officers,42400
AL,Alabama,Animal Control Workers,30110
AL,Alabama,Private Detectives and Investigators,65300
AL,Alabama,Security Guards,23610
AL,Alabama,Crossing Guards,20260
AL,Alabama,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",18230
AL,Alabama,Transportation Security Screeners,38810
AL,Alabama,"Protective Service Workers, All Other",28920
AL,Alabama,Food Preparation and Serving Related Occupations,20120
AL,Alabama,Chefs and Head Cooks,47530
AL,Alabama,First-Line Supervisors of Food Preparation and Serving Workers,30650
AL,Alabama,"Cooks, Fast Food",17640
AL,Alabama,"Cooks, Institution and Cafeteria",19330
AL,Alabama,"Cooks, Restaurant",21070
AL,Alabama,"Cooks, Short Order",19790
AL,Alabama,"Cooks, All Other",30210
AL,Alabama,Food Preparation Workers,19600
AL,Alabama,Bartenders,20540
AL,Alabama,"Combined Food Preparation and Serving Workers, Including Fast Food",17740
AL,Alabama,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",18710
AL,Alabama,Waiters and Waitresses,19380
AL,Alabama,"Food Servers, Nonrestaurant",20490
AL,Alabama,Dining Room and Cafeteria Attendants and Bartender Helpers,18640
AL,Alabama,Dishwashers,18080
AL,Alabama,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",17850
AL,Alabama,"Food Preparation and Serving Related Workers, All Other",18690
AL,Alabama,Building and Grounds Cleaning and Maintenance Occupations,23460
AL,Alabama,First-Line Supervisors of Housekeeping and Janitorial Workers,36220
AL,Alabama,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",40480
AL,Alabama,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",21480
AL,Alabama,Maids and Housekeeping Cleaners,18790
AL,Alabama,Pest Control Workers,29520
AL,Alabama,Landscaping and Groundskeeping Workers,25030
AL,Alabama,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",32770
AL,Alabama,Tree Trimmers and Pruners,36830
AL,Alabama,"Grounds Maintenance Workers, All Other",29880
AL,Alabama,Personal Care and Service Occupations,22000
AL,Alabama,Gaming Supervisors,42280
AL,Alabama,Slot Supervisors,33560
AL,Alabama,First-Line Supervisors of Personal Service Workers,33220
AL,Alabama,Animal Trainers,30220
AL,Alabama,Nonfarm Animal Caretakers,20270
AL,Alabama,Gaming and Sports Book Writers and Runners,26480
AL,Alabama,Motion Picture Projectionists,20550
AL,Alabama,Amusement and Recreation Attendants,18170
AL,Alabama,"Locker Room, Coatroom, and Dressing Room Attendants",23260
AL,Alabama,"Entertainment Attendants and Related Workers, All Other",21540
AL,Alabama,Embalmers,42380
AL,Alabama,Funeral Attendants,22100
AL,Alabama,"Morticians, Undertakers, and Funeral Directors",43580
AL,Alabama,"Hairdressers, Hairstylists, and Cosmetologists",24910
AL,Alabama,Manicurists and Pedicurists,22210
AL,Alabama,Shampooers,18030
AL,Alabama,Skincare Specialists,35640
AL,Alabama,Baggage Porters and Bellhops,19370
AL,Alabama,Concierges,24220
AL,Alabama,Tour Guides and Escorts,23220
AL,Alabama,Childcare Workers,18690
AL,Alabama,Personal Care Aides,18150
AL,Alabama,Fitness Trainers and Aerobics Instructors,36380
AL,Alabama,Recreation Workers,23760
AL,Alabama,Residential Advisors,22500
AL,Alabama,"Personal Care and Service Workers, All Other",25380
AL,Alabama,Sales and Related Occupations,32830
AL,Alabama,First-Line Supervisors of Retail Sales Workers,41070
AL,Alabama,First-Line Supervisors of Non-Retail Sales Workers,78010
AL,Alabama,Cashiers,18760
AL,Alabama,Counter and Rental Clerks,25620
AL,Alabama,Parts Salespersons,30090
AL,Alabama,Retail Salespersons,25990
AL,Alabama,Advertising Sales Agents,43850
AL,Alabama,Insurance Sales Agents,58220
AL,Alabama,"Securities, Commodities, and Financial Services Sales Agents",78300
AL,Alabama,Travel Agents,37470
AL,Alabama,"Sales Representatives, Services, All Other",49320
AL,Alabama,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",84440
AL,Alabama,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",62940
AL,Alabama,Demonstrators and Product Promoters,27630
AL,Alabama,Real Estate Brokers,68830
AL,Alabama,Real Estate Sales Agents,61130
AL,Alabama,Sales Engineers,94550
AL,Alabama,Telemarketers,23770
AL,Alabama,"Sales and Related Workers, All Other",30020
AL,Alabama,Office and Administrative Support Occupations,32650
AL,Alabama,First-Line Supervisors of Office and Administrative Support Workers,51560
AL,Alabama,"Switchboard Operators, Including Answering Service",24480
AL,Alabama,Telephone Operators,*
AL,Alabama,Bill and Account Collectors,31940
AL,Alabama,Billing and Posting Clerks,31660
AL,Alabama,"Bookkeeping, Accounting, and Auditing Clerks",36400
AL,Alabama,Payroll and Timekeeping Clerks,37940
AL,Alabama,Procurement Clerks,37560
AL,Alabama,Tellers,26670
AL,Alabama,"Financial Clerks, All Other",40930
AL,Alabama,Brokerage Clerks,47150
AL,Alabama,Correspondence Clerks,31140
AL,Alabama,"Court, Municipal, and License Clerks",32170
AL,Alabama,"Credit Authorizers, Checkers, and Clerks",34140
AL,Alabama,Customer Service Representatives,31190
AL,Alabama,"Eligibility Interviewers, Government Programs",40900
AL,Alabama,File Clerks,25330
AL,Alabama,"Hotel, Motel, and Resort Desk Clerks",19300
AL,Alabama,"Interviewers, Except Eligibility and Loan",28460
AL,Alabama,"Library Assistants, Clerical",22300
AL,Alabama,Loan Interviewers and Clerks,32530
AL,Alabama,New Accounts Clerks,33120
AL,Alabama,Order Clerks,30200
AL,Alabama,"Human Resources Assistants, Except Payroll and Timekeeping",35560
AL,Alabama,Receptionists and Information Clerks,24670
AL,Alabama,Reservation and Transportation Ticket Agents and Travel Clerks,36070
AL,Alabama,"Information and Record Clerks, All Other",41420
AL,Alabama,Cargo and Freight Agents,48380
AL,Alabama,Couriers and Messengers,25370
AL,Alabama,"Police, Fire, and Ambulance Dispatchers",32680
AL,Alabama,"Dispatchers, Except Police, Fire, and Ambulance",41990
AL,Alabama,"Meter Readers, Utilities",35030
AL,Alabama,Postal Service Clerks,47830
AL,Alabama,Postal Service Mail Carriers,50540
AL,Alabama,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",49440
AL,Alabama,"Production, Planning, and Expediting Clerks",47910
AL,Alabama,"Shipping, Receiving, and Traffic Clerks",30360
AL,Alabama,Stock Clerks and Order Fillers,24130
AL,Alabama,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",28590
AL,Alabama,Executive Secretaries and Executive Administrative Assistants,54910
AL,Alabama,Legal Secretaries,38500
AL,Alabama,Medical Secretaries,31440
AL,Alabama,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",33710
AL,Alabama,Computer Operators,37600
AL,Alabama,Data Entry Keyers,27910
AL,Alabama,Word Processors and Typists,32040
AL,Alabama,Desktop Publishers,31560
AL,Alabama,Insurance Claims and Policy Processing Clerks,33030
AL,Alabama,"Mail Clerks and Mail Machine Operators, Except Postal Service",28840
AL,Alabama,"Office Clerks, General",24190
AL,Alabama,"Office Machine Operators, Except Computer",25500
AL,Alabama,Statistical Assistants,36860
AL,Alabama,"Office and Administrative Support Workers, All Other",37910
AL,Alabama,"Farming, Fishing, and Forestry Occupations",30960
AL,Alabama,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",48310
AL,Alabama,Agricultural Inspectors,39220
AL,Alabama,"Graders and Sorters, Agricultural Products",23110
AL,Alabama,Agricultural Equipment Operators,26620
AL,Alabama,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",21540
AL,Alabama,"Farmworkers, Farm, Ranch, and Aquacultural Animals",23330
AL,Alabama,"Agricultural Workers, All Other",24500
AL,Alabama,Forest and Conservation Workers,50350
AL,Alabama,Fallers,38110
AL,Alabama,Logging Equipment Operators,33420
AL,Alabama,Log Graders and Scalers,37150
AL,Alabama,"Logging Workers, All Other",34830
AL,Alabama,Construction and Extraction Occupations,38990
AL,Alabama,First-Line Supervisors of Construction Trades and Extraction Workers,57210
AL,Alabama,Boilermakers,53600
AL,Alabama,Brickmasons and Blockmasons,40000
AL,Alabama,Stonemasons,31930
AL,Alabama,Carpenters,34960
AL,Alabama,Carpet Installers,37470
AL,Alabama,"Floor Layers, Except Carpet, Wood, and Hard Tiles",29640
AL,Alabama,Floor Sanders and Finishers,27400
AL,Alabama,Tile and Marble Setters,34450
AL,Alabama,Cement Masons and Concrete Finishers,35180
AL,Alabama,Construction Laborers,27460
AL,Alabama,"Paving, Surfacing, and Tamping Equipment Operators",30140
AL,Alabama,Operating Engineers and Other Construction Equipment Operators,37350
AL,Alabama,Drywall and Ceiling Tile Installers,33350
AL,Alabama,Electricians,45350
AL,Alabama,Glaziers,35420
AL,Alabama,"Insulation Workers, Floor, Ceiling, and Wall",30830
AL,Alabama,"Insulation Workers, Mechanical",37800
AL,Alabama,"Painters, Construction and Maintenance",32950
AL,Alabama,Pipelayers,34540
AL,Alabama,"Plumbers, Pipefitters, and Steamfitters",40920
AL,Alabama,Plasterers and Stucco Masons,28900
AL,Alabama,Roofers,30700
AL,Alabama,Sheet Metal Workers,39290
AL,Alabama,Structural Iron and Steel Workers,39870
AL,Alabama,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",26870
AL,Alabama,Helpers--Carpenters,24530
AL,Alabama,Helpers--Electricians,27200
AL,Alabama,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",22560
AL,Alabama,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",25940
AL,Alabama,Helpers--Roofers,22900
AL,Alabama,"Helpers, Construction Trades, All Other",24540
AL,Alabama,Construction and Building Inspectors,51280
AL,Alabama,Elevator Installers and Repairers,72610
AL,Alabama,Fence Erectors,26750
AL,Alabama,Hazardous Materials Removal Workers,35440
AL,Alabama,Highway Maintenance Workers,28840
AL,Alabama,Rail-Track Laying and Maintenance Equipment Operators,49610
AL,Alabama,Septic Tank Servicers and Sewer Pipe Cleaners,28020
AL,Alabama,"Construction and Related Workers, All Other",41670
AL,Alabama,"Rotary Drill Operators, Oil and Gas",40930
AL,Alabama,"Service Unit Operators, Oil, Gas, and Mining",45400
AL,Alabama,"Earth Drillers, Except Oil and Gas",37770
AL,Alabama,"Explosives Workers, Ordnance Handling Experts, and Blasters",50260
AL,Alabama,Continuous Mining Machine Operators,53710
AL,Alabama,Mine Cutting and Channeling Machine Operators,44300
AL,Alabama,"Mining Machine Operators, All Other",*
AL,Alabama,"Roustabouts, Oil and Gas",35720
AL,Alabama,Helpers--Extraction Workers,48310
AL,Alabama,"Extraction Workers, All Other",47840
AL,Alabama,"Installation, Maintenance, and Repair Occupations",45080
AL,Alabama,"First-Line Supervisors of Mechanics, Installers, and Repairers",63130
AL,Alabama,"Computer, Automated Teller, and Office Machine Repairers",39550
AL,Alabama,"Radio, Cellular, and Tower Equipment Installers and Repairers",47590
AL,Alabama,"Telecommunications Equipment Installers and Repairers, Except Line Installers",53250
AL,Alabama,Avionics Technicians,61700
AL,Alabama,"Electric Motor, Power Tool, and Related Repairers",43410
